x,y,z,filename,start,stop,cluster
2536.4990291634676,1661.424011870907,1776.716907121732,HSMT,0.0,2.0,20.0
914.1289149882742,1819.1080222425967,630.2552257832192,HSMT,2.0,4.0,61.0
793.2377011385478,2198.880131271678,1740.417658322865,HSMT,4.0,5.0,136.0
2946.1640010096557,2927.8762980661336,1650.629301373435,HSMT,5.0,6.0,277.0
1441.5185481067451,690.1246915170741,611.9324944419109,HSMT,6.0,8.0,81.0
1322.8390729201565,1746.6486562459515,693.09307768856,HSMT,8.0,9.0,111.0
595.5277989205474,2419.1207554178336,2172.6364428909446,HSMT,9.0,11.0,93.0
1255.2335076133468,2234.099491028098,1050.950093843749,HSMT,11.0,12.0,197.0
1026.3295781906397,923.6672416986696,1058.6464605067704,HSMT,12.0,15.0,285.0
918.6526436015133,784.2160796169703,1716.6535471588948,HSMT,15.0,17.0,236.0
998.9376341472563,1239.2297096899097,300.1733122410271,HSMT,17.0,20.0,42.0
1661.8007677520866,1655.908978549693,743.4650616876586,HSMT,20.0,24.0,243.0
982.394245076623,1110.3840050523822,670.0121947954004,HSMT,24.0,27.0,110.0
2264.537142073504,2369.231271157911,1718.6485136899234,HSMT,27.0,28.0,50.0
1069.5215827844047,2046.894434910996,1647.8398263679749,HSMT,28.0,31.0,235.0
1095.6697803002946,895.0949735211937,519.5508598974759,HSMT,31.0,33.0,252.0
1839.4508839795992,1549.7463973359652,473.8122938526446,HSMT,33.0,35.0,90.0
1163.5791687034919,1247.2402270310142,1805.6677663804282,HSMT,35.0,37.0,283.0
1326.2422387136894,888.5480967900759,1088.5128104954836,HSMT,37.0,39.0,263.0
753.9696731911449,1900.893493160211,2025.332474748875,HSMT,39.0,40.0,240.0
771.2917579442584,2253.6631680139035,2156.899369504119,HSMT,40.0,42.0,214.0
906.8924635380539,943.0652195503038,1135.7417960365726,HSMT,42.0,43.0,290.0
595.5277989205474,2419.1207554178336,2172.6364428909446,HSMT,43.0,45.0,93.0
850.0695582575344,2119.5715453950243,2177.2644761306724,HSMT,45.0,48.0,145.0
2203.273086003587,2057.6884961824344,2376.349856717673,HSMT,48.0,50.0,173.0
739.0437140795625,1789.3083145404078,1997.245698920293,HSMT,50.0,52.0,241.0
1478.7933599516819,1664.089781094116,1615.4733709648735,HSMT,52.0,53.0,15.0
1119.587826448564,2161.5865404535966,1708.7084076099275,HSMT,53.0,56.0,282.0
1130.906232883547,1289.584099852248,340.2937090644657,HSMT,56.0,58.0,70.0
1163.5791687034919,1247.2402270310142,1805.6677663804282,HSMT,58.0,60.0,283.0
911.3856776300347,678.45812785749,1007.1658773995887,HSMT,60.0,61.0,179.0
1441.5185481067451,690.1246915170741,611.9324944419109,HSMT,61.0,63.0,81.0
701.9134384733142,555.1377329165248,849.8920935861112,HSMT,63.0,65.0,89.0
2160.391082455983,2071.788513599608,2393.0908849939283,HSMT,65.0,67.0,215.0
911.3856776300347,678.45812785749,1007.1658773995887,HSMT,67.0,69.0,179.0
671.1894337751393,874.6691291315004,1691.772893435688,HSMT,69.0,71.0,30.0
878.3299339696895,711.6006743917534,1286.8018310417142,HSMT,71.0,73.0,245.0
1620.7651146492858,2642.2762519911885,2031.1601935997776,HSMT,73.0,76.0,158.0
1430.9030221590253,825.8694300804104,824.9056509746409,HSMT,76.0,79.0,165.0
683.2073296327376,1610.1172222529817,1148.7912047147804,HSMT,79.0,81.0,163.0
878.3299339696895,711.6006743917534,1286.8018310417142,HSMT,81.0,83.0,245.0
2025.7268656752829,2027.1800944796696,2070.614784130979,HSMT,83.0,85.0,265.0
1985.178097823668,2232.4484179535602,2037.4224311565788,HSMT,85.0,88.0,289.0
1409.8563604396406,2824.316723430993,2080.900229748541,HSMT,88.0,90.0,82.0
709.7253312344924,2182.2325248022735,1388.5048506886376,HSMT,90.0,92.0,140.0
436.6031601877673,1266.1282866545087,1680.7441994815902,HSMT,92.0,94.0,92.0
1155.3984239552965,1053.939731253299,769.7555297850597,HSMT,94.0,96.0,264.0
553.6488647141207,1343.0112550054791,1437.6457597379438,HSMT,96.0,97.0,169.0
1441.5185481067451,690.1246915170741,611.9324944419109,HSMT,97.0,99.0,81.0
834.0964429246969,1247.6422991458478,1731.283117346138,HSMT,99.0,101.0,227.0
947.9144370002132,462.77131590676504,1560.475283456554,HSMT,101.0,102.0,23.0
1441.5185481067451,690.1246915170741,611.9324944419109,HSMT,102.0,103.0,81.0
2488.15543141764,1910.9647197972636,1928.3194383610087,HSMT,103.0,105.0,33.0
415.9394055465314,1234.397411291918,1265.1174304035076,HSMT,105.0,106.0,109.0
2018.9426650385299,2161.970657827034,1001.0153270557729,HSMT,106.0,108.0,36.0
1249.298817141925,2544.1605662358616,2620.6224035837927,HSMT,108.0,110.0,116.0
1119.587826448564,2161.5865404535966,1708.7084076099275,HSMT,110.0,112.0,282.0
580.5491759034497,763.0971110473827,1461.7199135782637,HSMT,112.0,113.0,105.0
526.5042476695268,2340.881054171428,2037.6942560663701,HSMT,113.0,115.0,46.0
1407.630756977014,1776.3250995381968,1604.8083760829225,HSMT,115.0,117.0,22.0
502.8010551471343,2084.6193240943403,2102.806882597268,HSMT,117.0,119.0,64.0
701.9134384733142,555.1377329165248,849.8920935861112,HSMT,119.0,121.0,89.0
953.3149499184946,812.8137397081181,696.3700779193126,HSMT,121.0,122.0,149.0
990.8485580703272,1093.8588200311092,703.8233935213285,HSMT,122.0,124.0,269.0
1409.8563604396406,2824.316723430993,2080.900229748541,HSMT,124.0,126.0,82.0
